Date,Year ,Quarter,Quarter and Year,Medevac Missions,Impaired Driving Arrests,Cross-Border Criminal Investigations,Total Traffic Stops
03/31/2014 12:00:00 AM,2014,Q1,Q1 2014,376,1496,180,110734
06/30/2014 12:00:00 AM,2014,Q2,Q2 2014,597,1630,104,141940
09/30/2014 12:00:00 AM,2014,Q3,Q3 2014,681,1767,148,147807
12/31/2014 12:00:00 AM,2014,Q4,Q4 2014,484,1562,108,119741
03/31/2015 12:00:00 AM,2015,Q1,Q1 2015,345,1500,210,132779
06/30/2015 12:00:00 AM,2015,Q2,Q2 2015,597,1636,124,141777
09/30/2015 12:00:00 AM,2015,Q3,Q3 2015,733,1934,117,148446
12/31/2015 12:00:00 AM,2015,Q4,Q4 2015,430,1702,93,128598
06/30/2016 12:00:00 AM,2016,Q2,Q2 2016,558,1720,554,137188
03/31/2016 12:00:00 AM,2016,Q1,Q1 2016,425,1614,262,128685
09/30/2016 12:00:00 AM,2016,Q3,Q3 2016,639,1892,521,136729
12/31/2016 12:00:00 AM,2016,Q4,Q4 2016,554,1591,458,114175
03/31/2017 12:00:00 AM,2017,Q1,Q1 2017,340,1639,511,137124
07/10/2017 12:00:00 AM,2017,Q2, Q2 2017,565,1595,356,134204
10/02/2017 12:00:00 AM,2017,Q3,Q3 2017,584,1756,346,137506
01/04/2018 12:00:00 AM,2017,Q4,Q4 2017 ,424,1538,258,126881
04/05/2018 12:00:00 AM,2018,Q1,Q1 2018,396,1630,415,133805
07/03/2018 12:00:00 AM,2018,Q2,Q2 2018,523,1723,384,142609
10/05/2018 12:00:00 AM,2018,Q3,Q3 2018,515,1828,408,141806
