County,overall_crime,violent,property,edu_expenditures,income,labor_force
Allegany County,3237.8,342.1,2895.8,13553,34657,52.6
Anne Arundel County,2638.7,408.4,2230.3,12987,56361,70.7
Baltimore City,6650.9,1797.4,4853.4,14991,42485,61.8
Baltimore County,3361.2,531.2,2830,13203,50824,66.5
Calvert County,1464.6,154.9,1309.7,13725,52102,69.6
Caroline County,2257.4,192,2065.4,12400,39005,64.7
Carroll County,1353.6,153.5,1200.1,13253,52101,68.7
Cecil County,2919.6,365.6,2554.1,12741,39889,65.9
Charles County,2002.4,359.1,1643.3,13427,48404,68.8
Dorchester County,3434.7,479.1,2955.5,13962,38298,64.3
Frederick County,1531,244.1,1286.9,12661,50642,71.1
Garrett County,1491.5,205.7,1285.7,14834,37517,60.1
Harford County,1610.5,220.9,1389.6,12481,48981,69
Howard County,1975.5,227.6,1747.9,15397,64910,72.4
Kent County,1500.6,209.3,1291.3,14027,49350,57.4
Montgomery County,1665.5,175.1,1490.4,15002,73127,71.8
Prince George's County,2653.3,385.3,2267.9,14102,41698,71.7
Queen Anne's County,1474.2,237.5,1236.7,12457,52337,68.6
Somerset County,2382.2,451.3,1930.9,15370,48018,40.9
St. Mary's County,2056.6,202.8,1853.8,12171,26690,67.8
Talbot County,2125.1,223,1902.2,11869,60486,59.5
Washington County,2436.1,301.8,2134.3,12720,39261,60.7
Wicomico County,3418.4,486.9,2931.4,13094,35876,65.3
Worcester County,3876.7,296.6,3580.1,16960,51252,59.5
